Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
590,"
    University
        of Ulster 10007807
    ","Art and Design: History, Practice and Theory","
    Photography and the representation of conflict
    ","    Wylie and Seawright's research extends longstanding work in the field of
      art and conflict at
      Ulster. Their
      photographic work ____has enhanced public and national understanding of
      conflicts in
      which the United
        Kingdom has been directly involved. Much of this research extends
      conventional visual responses to conflict by mainstream media agencies and
      publications,
      expanding the field by enhancing the long-term documentation of conflict
      through the production
      of artworks. Using contemporary art-based contextual and methodological
      strategies of
      production and dissemination, the research ____has provided new material
      through which
      contemporary and historic conflict can be commemorated and interpreted in
      international
      museum collections, publications and exhibitions."
741,"
    University
        of Kent
    ",Politics and International Studies,"
    Asia's Missing Women: Shaping public debate on the security implications
      of imbalanced sex-ratios
    ","    Den Boer's research into the relationship between extreme gender
      population imbalances and state security ____has shaped public and political
      debate within national and international media, influenced public policy
      and political campaigns, and affected the provision of data services
      within the Organisation
        for Economic Co-Operation and Development (OECD). The researchers'
      argument regarding Asia's missing women continues to ____inform journalists',
      NGOs', institutions', policy makers' and the wider public's understanding
      of the role played by gender imbalances when assessing state stability and
      security in situations as diverse as gendercide in Asia,
      youth uprisings and revolts, and gang rape in India."
742,"
University of Kent
",Politics and International Studies,"
Creating Conflict Resolution Capacity: Transnational Communities, NGOs and Intergovernmental
Bodies
","Research on mediation practice and conflict regulation ____contributed to the development of
resources to enhance professional training standards and democratic participation in conflict-ridden societies. The researchers' work has focused on: a) post-genocide diaspora groups
emphasizing the transformative effects of new social networking facilities; b) professional
standards in conflict resolution practice; and c) power-sharing arrangements addressing gaps in
minority-group representation. Scholarly work on conflict resolution capacity has had an ____impact on
intergovernmental bodies, the media and transnational communities and ____has demonstrably
produced innovative training methods for NGOs and conflict practitioners as well as resources to
safeguard inclusivity in divided societies."
746,"
    University of Kent
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Enhancing Training and Performance in Elite Cycling
    ","
    This impact case study describes the development and application of
      models of training and performance in elite cycling. These models have
      been used by elite medal winning teams in their search for competitive
      advantage in the UK (by British Cycling and British Triathlon, including
      the GB Olympic Cycling and British Triathlon Teams and the British
      Paralympic Team) and internationally (by the Australian Institute of
      Sport). These new cycling models ____have provided the basis for the
      development of new training processes that are influencing the way in
      which many nations prepare their elite riders. This work ____has contributed
      directly to enhance elite sports science practice in the field of cycling
      and the competitive advantage for British teams to which it contributes is
      envied around the world. The adoption of the underlying algorithms for the
      `Wattbike' software has given our work a wider impact on sports practice
      and training methods, and it has been adapted for the `Map My Tracks'
      website which is used by sports enthusiasts worldwide.
    "
747,"
    University of Kent
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Informing Public Debate and Policy Makers on the Olympic Games Legacy
    ","
    Research by Dr Sakis Pappous on the legacy of the Athens 2004 Olympic
      Games in Greece has challenged conventional wisdom that sporting
      mega-events automatically lead to health benefits for the host population
      via a supposed increase in grassroots participation in sports and physical
      activity. These findings were reviewed by the British Medical Journal
      (BMJ) and mainstream British media (e.g., BBC and The Guardian) to
      stimulate and inform public debate on the health legacy of London 2012.
      Pappous's research has also __informed the Department for Culture, Media and
      Sport, the House of Commons and the House of Lords about the difficulty in
      achieving sustained sports participation after the Olympic Games.
    Internationally, Pappous's research ____has informed debate in the US media
      (USA Today) and among sport managers and policy makers in Africa, South
      America and Europe. International policy makers informed and influenced by
      Pappous's findings include the Nigerian Minister of Sports and the Vice
      Director of the Colombian Department for Sport, Physical Activity and
      Leisure (COLDEPORTES). As a direct consequence of Pappous's findings, they
      now acknowledge that a broader strategy promoting an active lifestyle must
      be implemented if any sporting excitement caused by a mega-event is to
      sustain sports participation.
    "
911,"
    University of Kent
    ",Computer Science and Informatics,"
    Greenfoot: Transforming the way programming is taught
    ","
    Greenfoot is a software system to support the learning of programming at
      school level (age 13 upwards). During the REF period, over a million
      students worldwide have learned programming through Greenfoot: at school,
      in after school clubs and workshops, and privately at home. Greenfoot ____has
      helped to raise the profile of programming in schools and outside in a
      number of countries. The research described here has had impact on a
      variety of stakeholders, including pupils, teachers and those involved in
      national curriculum development. Greenfoot is currently downloaded more
      than 350,000 times/year and is in active use in thousands of schools.
      Greenfoot is one of very few systems, internationally, to have this level
      of impact on programming education."
937,"
    University of Kent
    ",English Language and Literature,"
    Abdulrazak Gurnah: Influencing policymakers, cultural providers,
      curricula, and the reading public worldwide via new imaginings of empire
      and postcoloniality
    ","
    Abdulrazak Gurnah's research, mediated through his novels and short
      stories, enriches and ____reshapes public understandings of empire and its
      consequences on an international scale. By challenging previous
      assumptions about empire, colonialism, migration, and diaspora, Gurnah's
      writing has influenced educators, educational policymakers, broadcasters
      and other cultural providers. Since the publication of Paradise
      (1994), his creative work has led to a paradigmatic shift in post-empire
      geography and history through which Indian Ocean studies and a global
      Islamic narrative have become newly visible. Festival organisers, students
      at all levels, and the international reading public have had their
      horizons expanded by his vision.
    "
940,"
University of Kent
",English Language and Literature,"
Changing heritage practice and influencing the content and the form of
doctoral education: Centre for Medieval and Early Modern Studies (MEMS)
","
The Centre for Medieval and Early Modern Studies (MEMS) actively promotes cross-sector
collaboration and exchange with cultural institutions outside Higher Education. Through these
partnerships, MEMS research in material culture and spatial studies by Catherine Richardson and
Bernhard Klein ____has delivered public benefits by changing curatorial practices in the heritage sector
and by influencing the content and the form of the education of doctoral students in the Humanities
beyond the University of Kent. This research has been ____used by cultural providers, engaged wide
public audiences, significantly ____enriched the experience of a large number of individuals, and
changed the policies of several institutions within and outside the UK.
"
942,"
    University of Kent and University of Greenwich
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    The Guide to Receptors and Channels: a key tool in the maintenance and
        development of Pharmacology.
    ","
    The Guide to Receptors and Channels ____has contributed to the
      development and maintenance of the intellectual infrastructure of
      pharmacology. The key tools it provides ____have influenced appropriate
      identification of lead drug targets and how best to study them and, as a
      result, it has received endorsement and financial support from the
      Pharmaceutical Industry. It is used widely as a teaching aid for
      undergraduates and research postgraduates and provides the general public
      with accurate information on prescription drug action. It ____led to the
      formation of the Guide to Pharmacology website in collaboration with the
      International Union of Basic and Clinical Pharmacology.
    "
945,"
    University of Kent
    ",English Language and Literature,"
    Radical Distrust: Rethinking Radicalisation for Policy Formation and
        Public Debate
    ","    Caroline Rooney's `Radical Distrust' research ____has generated policy advice
      for government officials, stimulated and informed public debate through
      international cultural activism and media channels of international reach,
      and launched trust-building initiatives to counter the effects of
      sectarian conflict in the Middle East. `Radical Distrust' anticipated the
      Arab Spring, serving to enhance the visibility and significance of the
      pro-democracy momentum linked to the arts in the period just prior to the
      uprisings. The programme generated data of historical importance for this
      key moment, and brought the cultural self-analyses of regional
      intellectuals to new audiences. It has been and continues to be a catalyst
      for multiple audiences in coming to terms with a new Middle East in the
      making.
    "
947,"
University of Kent
",Classics,"
The Development of Cultural Value in the Practice of Heritage Management
in Greece
","
Kyriakidis's research ____has had impact on policy-makers within both national and local government.
This has involved a scaling up of his impact activities that were based in Gonies (Crete) to include
both national policy-makers and international organisations. As a result, he ____has become an
influential international authority on the development of greater public engagement with heritage
sites (including Pompeii), and on public policy in Greece. His research has resulted in a ____shift in
policy at the Athens University of Economics and Business, which now engages with the provision
of training in Heritage Management and is branching out from exclusively finance-based education.
His CPD (Continuing Professional Development) courses have reached out to the commercial
sector (particularly Leica).
"
949,"
University of Kent
",Philosophy,"
Humanism and Religion in Public Life
","Professor Richard Norman's research ____has led to an improvement in the public awareness of
humanist thought and value, both at national and international level. This impact was generated
through articles written for a non-academic audience; public lectures and conference
presentations; a report on humanist issues as the centrepiece of parliamentary debate in the
House of Lords; and an appearance to discuss humanist perspectives on BBC Radio 4's The
Moral Maze."
952,"
    University of Kent
    ",History,"
    Public understandings of propaganda, power and persuasion
    ","
    This case study refers to civil society, cultural life, public discourse
      and education. As an international authority on propaganda and persuasion,
      David Welch has raised public understanding of this key component of
      contemporary life across a number of countries through:
    
      Acting as lead consultant on three major television series on
        propaganda and war commissioned by the Canadian Broadcasting Corporation
        (2010-13).
      Acting as co-curator and historical consultant for two exhibitions:
        the United States Holocaust Memorial Museum's `State of Deception: The
        Power of Nazi Propaganda' (2009) and the British Library's `Propaganda:
        Power and Persuasion', and author of the accompanying book (2013).
    
    The television series has been broadcast in five countries and ____achieved
      global viewing figures in excess of 7 million. Public attention to the
      museum exhibitions was equally significant with 384,000 people visiting
      the Holocaust Memorial exhibition in its first year and 68,250 that at the
      British Library. Reactions to these contributions have been overwhelmingly
      positive, revealing the reach and significance of the impact.
    "
958,"
UNIVERSITY OF KENT
",Business and Management Studies,"
Developing a performance management methodology for Chinese
organisations in a turbulent environment
","
This case study describes the effects of a new performance management system, developed in
China and adopted by organisations facing complex management challenges. To date, seven
public and private sector organisations have successfully used the `3E' (Effectiveness, Efficacy,
and Efficiency) system for tasks as varied as developing performance indicators, improving
management communication and designing appraisal systems that work under conditions of rapid
growth and change.
The participating organisations include the Chinese Academy of Sciences (CAS), Hunan
University, Tonsan Adhesives Inc, Xingxiang Insurance, Sun-rivier local government, Liao-ling
Plaze hotel and Hua-bao International Holdings. Their adoption of the 3E system has resulted in
____improved performance management within these organisations.
"
964,"
    University of Kent
    ",Theology and Religious Studies,"
    Developing New Public Insights on the Sacred in the Modern World
    ","    Through a range of media and educational activities, Gordon Lynch ____has
      developed public understanding of the importance of morally-charged
      visions of the sacred and the profane for contemporary society. In his
      work, the sacred refers not necessarily to traditional forms of religious
      belief, but to whatever people collectively experience as unquestionable
      moral realities, whose profanation evokes reactions of outrage, disgust
      and the search for restitution and renewed moral solidarity. In articles
      for newspapers, blogs for influential websites, and on-line films for use
      in secondary schools, he has introduced public audiences to this way of
      thinking about the sacred and shown its relevance for making sense of
      contemporary cases involving strong public moral emotion. These have
      ranged from the UK phone-hacking scandal to public responses to the mass
      murders committed by Anders Behring Brievik. His work has been engaged
      with by a global audience of at least 250,000-300,000 people, and has
      enabled public audiences both to identify sacred passions in the modern
      world and to adopt a more self-critical attitude towards instinctive moral
      reactions."
975,"
University of Kent
","Psychology, Psychiatry and Neuroscience","
The first comprehensive theory-based treatment of firesetting
","Every week, criminal firesetting in the UK causes 65 casualties or deaths (3,380 per year) and
costs &#163;42 million (&#163;2.2 billion per year; Arson Prevention Bureau, 2009). Remarkably, no
standardised offender treatment programmes have been developed for this common, costly and
tragic offence. Responding to this need, psychologists from the School of Psychology at the
University of Kent have recently developed the first empirically informed comprehensive theory of
firesetting, and from their theory, they have derived the first standardised treatment programmes
for firesetters. Already, the research is being used across the UK and Australia in the training,
assessment, and treatment practices of clinical professionals who work with adult firesetters.
Clinicians in the USA have also been trained in a treatment programme derived from the research.
As a result, ____enhanced, specialised treatment of firesetters is being provided in secure
establishments and community settings for the first time. Further, the assessment and treatment
programmes developed by our researchers now play a central role in the care, sentence planning
and parole decisions for firesetters in the UK.
"
976,"
    University of Kent
    ","Psychology, Psychiatry and Neuroscience","
    Developing assessment and treatment practices for female sexual offenders
    ","    This impact case study is based on a body of research that ____has enhanced
      the assessment and treatment of female sexual offenders internationally.
      This clinical impact was underpinned by a series of unique qualitative and
      quantitative studies that led to the discovery of female sexual offenders'
      offence styles and cognitive characteristics. The work has resulted in the
      ____development of effective clinical practice training and guidelines. It has
      been used by professionals to enhance their assessment and treatment of
      female sexual offenders whose specific needs had not previously been
      identified."
977,"
University of Kent
","Music, Drama, Dance and Performing Arts","
Grotowski redrawn: enhancing theatre practice and teaching, enriching culture
","The AHRC-funded British Grotowski Project has enhanced international theatre practice and the
teaching of theatre in schools, as well as broadening cultural understanding in the UK.
The project enabled the development of new theoretical and embodied understanding of Jerzy
Grotowski's oeuvre within and beyond the theatre profession, ____enhancing theatre skills in actor
training and directing amongst professional practitioners, schoolteachers and pupils. Many project
events took place under the auspices of the Polish government's Polska! Year in the UK and
UNESCO's Year of Grotowski, both 2009, which broadened the global impact."
978,"
    University of Kent
    ","Music, Drama, Dance and Performing Arts","
    Changing Perceptions of Diabetes through Stand-Up Comedy &#8212; Changing
        Perceptions of Stand-Up Comedy through Diabetes
    ","    Written and performed by Oliver Double, the stand-up comedy performance Saint
        Pancreas uses the medium of comedy to ____enhance public understanding
      of type 1 diabetes, and to challenge prevailing assumptions about the
      condition within and beyond the community of patients and their families.
      As a live performance and on DVD, the work has had impact on:
    
      diabetes sufferers
      diabetes organisations in the UK and the US
      charity and healthcare professionals
    
    Furthermore, within the field of stand-up comedy itself, it has
      contributed to challenging and broadening the aesthetic possibilities of
      the form."
981,"
    University of Kent
    ","Music, Drama, Dance and Performing Arts","
    Changing minds, changing behaviour: drama and autism
    ","
    The AHRC-funded project `Imagining Autism' has had a significant, and in
      some cases life-changing, impact on the participants and their families,
      as well as on educational psychologists, charities and experts working in
      the fields of autism and cognitive functioning. The impacts are two-fold:
    
      Significant and lasting behavioural changes in the 22 participating
        autistic children;
      Revaluation of drama and play-based methods to ____promote well-being in
        autistic children, specifically by: educational psychologists and
        teaching staff at Helen Allison School; the Director of Research at the
        National Autistic Society; and the Consultant Community Paediatrician at
        the Children's Assessment Centre, Kent and Canterbury Hospital, along
        with 15-20 of her staff.
    
    The project has challenged stereotypes and departed from skills-based
      interventions (which focus narrowly on specific cognitive or social
      skills, such as counting, or dressing) prevalent in education and health
      settings, leading to new understandings of the capabilities of a
      marginalised group. It has ____demonstrated its capacity to transform lives.
    "
1002,"
    University of Ulster
    ",Education,"
    ICT for intercultural school links: the Dissolving Boundaries Programme
    ","    This case study is based on research into the Dissolving Boundaries (DB)
      Programme which uses
      ICT and face to face contact to address post-conflict mistrust between
      young people in Northern
      Ireland (NI) and the Republic of Ireland (ROI). With funding from the
      Departments of Education in
      Belfast and Dublin, the programme has been operating in 300 schools since
      1999. Research led
      by Austin (2004, 2007, 2008, 2010, 2011 and 2013) has had an impact in
      four broad ways; first, on
      teacher professional ____development by refining practice of collaborative
      learning using ICT; second,
      on the quality of pupil learning, including perceptions of cultural
      difference; third, on government
      policy in the way ICT is assessed by requiring schools to use ""exchange""
      as a new requirement
      and, fourth, internationally, through supporting the `north-south' strand
      of the Belfast Agreement
      1998, and shaping similar work in England and the Middle East.
    "
1003,"
    University of Ulster
    ",Education,"
    Educating For Pluralism, Human Rights and Democracy
    ","
    UNESCO Centre research has impacted on education policy, locally and
      globally, attracting research grants of more than &#163;6 m in the last decade.
      Three significant research impacts are: statutory inclusion of Local and
      Global Citizenship in the Northern Ireland Curriculum (NIC) for all
      schools from 2007; research on `conflict sensitive' education that
      ____provided the conceptual framework for the 2011 UNESCO Education Global
      Monitoring Report and has been used by UNICEF to secure funding addressing
      peace-building and education in conflict affected countries; and a
      rights-based indicators framework now used by the Northern Ireland
      Executive to monitor implementation of children's policies.
    "
1026,"
    University of Ulster
    ",Modern Languages and Linguistics,"
    Language Policy and Planning in Northern Ireland
    ","
    Research carried out within the Irish and Celtic Studies Research
      Institute has had a direct ____impact upon government policy in Northern
      Ireland and has led to major benefits for the community. Our research into
      language rights, language and identity, the Irish language in Northern
      Ireland and minority languages in general has underpinned our
      collaboration with government in the development of language policy. This
      collaboration has resulted in our participation in a thorough examination
      of education through the medium of Irish: Review of Irish-Medium
        Education (RIME) and our development of a comprehensive languages
      strategy for Northern Ireland: Languages for the Future: Northern
        Ireland Languages Strategy (NILS). The implementation by government
      of the recommendations contained in these reports has impacted
      significantly on the community. Major impact will be demonstrated in the
      area of education, in particular Irish-Medium education (IME), but also in
      relation to the business sector and social cohesion.
    "
1028,"
    University of Ulster
    ",Modern Languages and Linguistics,"
    From local dialects to global languages: supporting multilingualism in
      Northern Ireland
    ","
    Linguistics at Ulster has:
    1) ____influenced public policy and provision for Ulster Scots through
      appointment to The Ulster Scots Academy Implementation Group, planning for
      an Ulster Scots Academy and publication of Ulster Scots language resources
    2) ____impacted on public values and discourse relating to local dialects
      with consequent effects on educational participation and practice
    3) ____underpinned developments in policy and training in Irish-medium
      education
    4) ____transformed the perspectives of communities and professionals adapting
      to the transition of Northern Ireland to a multicultural, multilingual
      society.
    Effectively it ____has changed how relevant stakeholders engage with issues
      relating to language, linguistic prejudices and disadvantage.
    "
1029,"
    University of Ulster
    ",Modern Languages and Linguistics,"
    Embedding computer-assisted language learning (CALL) in Modern Foreign
      Languages curricula, in industry and in the community
    ","
    The impact of research in computer-assisted language learning (CALL) at
      Ulster is evidenced by the changes it has driven regarding the ____delivery of
      language teaching using ICT and multimedia language learning tools in a
      variety of environments. The production of internationally-recognised
      research to demonstrate effective motors for change ____led to the
      establishment of a key infrastructure, the Centre for Excellence in
      Multimedia Language Learning (CEMLL), funded by a CETL (Centre for
      Excellence in Teaching and Learning) grant of &#163;825,000 from Department of
      Education and Learning (DEL). This ____has informed developments in language
      teaching in higher and secondary education and ____has provided language
      learning opportunities beyond traditional educational sectors into
      industrial and community settings.
    "
1112,"
    University of East Anglia
    ",Education,"
    Children's participation in decision-making in primary classrooms
    ","
    The case study addresses the impact of the project `Children Decide:
      power, participation and purpose in the primary classroom' (2004-6)
      regarding its two aims: developing collaborative approaches to
      decision-making in schools, and advancing methodological understanding of
      children as action researchers. The project made a subsequent
      methodological contribution (children as researchers) to educational
      evaluation and policy in two international organisations. Since 2008, the
      project has had a direct and significant ____impact on children's
      participation in decision-making in Norfolk schools, as reported by the
      teachers and those who attended dissemination conferences and professional
      development initiatives, and nationally by educators who used the
      published report.
    "
1409,"
    University of East Anglia
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    The impact of Community-Based Rehabilitation (CBR) on improving access
        to rehabilitation services for people with disabilities
    ","
    Community-Based Rehabilitation (CBR) is a strategy for rehabilitation,
      equalisation of opportunity, poverty reduction and social inclusion of
      people with disabilities in low and middle income countries. Outcomes from
      CBR have been shown to ____increase independence, and ____enhance mobility and
      social inclusion of people with disabilities in low and middle income
      nations. CBR is currently implemented in over 90 countries and has enabled
      thousands of disabled children and adults across the globe to ____receive
      rehabilitative care within their own communities. CBR works by
      establishing community-based programmes which reach into areas that
      conventional services cannot, such as rural areas in developing countries
      with limited infrastructure; it is able to do this as programme leadership
      is not restricted to professionals but also involves the people with
      disabilities, their families and communities. Hartley has played a
      significant role in providing the evidence required by governments and
      NGOs to implement CBR to enable children and adults in developing
      countries to benefit from improved communication, education and community
      development. Hartley provided research evidence to help the approach
      develop from simple rehabilitation to an extensive mix of education,
      livelihood and empowerment. She fostered regional and global networks of
      practitioners and researchers, such as the CBR Africa Network, and these
      capacity building, networking and knowledge exchange activities have
      ensured that CBR research has had an impact in practice on a global scale.
    "
1432,"
    University of East Anglia
    ",Social Work and Social Policy,"
    Influencing reform of disability benefits for older people
    ","
    A potential policy change concerning disability benefits for older people
      (received by 2.44 million
      over 65s in Britain), which would have been based on an incorrect premise,
      ____has been avoided,
      partly as a result of research carried out in the submitting Unit. We
      highlighted a flaw in the income
      measure in analyses used in Government to conclude that disability
      benefits go to older people
      without substantial financial needs. Measuring income appropriately, our
      research showed that
      recipients of these benefits in fact tend to be on low incomes. We were
      quoted extensively in a
      Health Select Committee report and elsewhere. The policy change has been
      abandoned.
    "
1438,"
    University of East Anglia
    ",Education,"
    Measuring the working atmosphere in the classroom: The Haydn Scale
    ","
    The Haydn Scale is an instrument for considering the working atmosphere
      in classrooms and is used for teacher development by schools and Initial
      Teacher Education (ITE) providers within and beyond the UK. Within the UK,
      it is the most widely used instrument for reflecting on and helping to
      understand deficits in classroom climate, and over the REF period, there
      is evidence to demonstrate that the scale is used worldwide. Large numbers
      of teacher educators, heads, teachers and student teachers have found it
      to be a useful resource in developing understanding of the factors
      influencing classroom climate and pupil behaviour.
    "
1439,"
    University of East Anglia
    ",Politics and International Studies,"
    Inside knowledge: informing institutions on managing and working with
        the European Commission
    ","
    The research project, `The European Commission in Question', has had
      impact of considerable
      reach and significance: It has enabled senior managers across the
      Commission and others to ____gain
      a detailed understanding of the backgrounds, motivation and beliefs,
      careers and networking
      behaviour of Commission officials, as well as their attitudes to the
      internal operation of the
      organization, the impact of administrative reform, and the handling and
      effects of the 2004 and
      2007 enlargements; it ____has informed the EU recruitment strategy of the UK
      Foreign and
      Commonwealth Office; and it ____has contributed to the Scottish government's
      approach to
      engagement with the Commission. More generally, its findings ____have informed
      the EU policy
      community and the wider public about the Commission and its staff.
    "
1441,"
    University of East Anglia
    ",Area Studies,"
    Intercultural Communication: Changing practice, perceptions, and
        values
    ","
    This case study outlines how our research ____has improved intercultural
      communication for a wide
      range of beneficiaries in Norwich, Norfolk and the East of England. The
      impact it describes is
      threefold. We ____have changed practice, perceptions, and values
      around issues of intercultural
      understanding in an increasingly globalised context. Beneficiaries are
      local government (Norwich
      City Council), businesses (Norwich City Football Club), service providers
      in sensitive domains (law
      enforcement agencies, legal interpreters), and the general public. The
      impact is thus on practice
      and policy in the region, but also, importantly, on public attitudes and
      cultural assumptions,
      exemplified by the testimonial from the Head of Equality and Diversity at
      Norfolk Constabulary.
    "
