"Abdulrazak Gurnah's research, mediated through his novels and short stories, enriches and reshapes public understandings of empire and its consequences on an international scale.",ref,social_impact
"Through these partnerships, MEMS research in material culture and spatial studies by Catherine Richardson and Bernhard Klein has delivered public benefits by changing curatorial practices in the heritage sector and by influencing the content and the form of the education of doctoral students in the Humanities beyond the University of Kent.",ref,social_impact
"This research has been used by cultural providers, engaged wide public audiences, significantly enriched the experience of a large number of individuals, and changed the policies of several institutions within and outside the UK.",ref,social_impact
The Guide to Receptors and Channels has contributed to the development and maintenance of the intellectual infrastructure of pharmacology.,ref,social_impact
"The key tools it provides have influenced appropriate identification of lead drug targets and how best to study them and, as a result, it has received endorsement and financial support from the Pharmaceutical Industry.",ref,social_impact
It led to the formation of the Guide to Pharmacology website in collaboration with the International Union of Basic and Clinical Pharmacology.,ref,social_impact
"Caroline Rooney's `Radical Distrust' research has generated policy advice for government officials, stimulated and informed public debate through international cultural activism and media channels of international reach, and launched trust-building initiatives to counter the effects of sectarian conflict in the Middle East.",ref,social_impact
Kyriakidis's research has had impact on policy-makers within both national and local government.,ref,social_impact
"As a result, he has become an influential international authority on the development of greater public engagement with heritage sites (including Pompeii), and on public policy in Greece.",ref,social_impact
"His research has resulted in a shift in policy at the Athens University of Economics and Business, which now engages with the provision of training in Heritage Management and is branching out from exclusively finance-based education.",ref,social_impact
"Professor Richard Norman's research has led to an improvement in the public awareness of humanist thought and value, both at national and international level.",ref,social_impact
The television series has been broadcast in five countries and achieved global viewing figures in excess of 7 million.,ref,social_impact
Their adoption of the 3E system has resulted in improved performance management within these organisations.,ref,social_impact
"Through a range of media and educational activities, Gordon Lynch has developed public understanding of the importance of morally-charged visions of the sacred and the profane for contemporary society.",ref,social_impact
"As a result, enhanced, specialised treatment of firesetters is being provided in secure establishments and community settings for the first time.",ref,social_impact
This impact case study is based on a body of research that has enhanced the assessment and treatment of female sexual offenders internationally.,ref,social_impact
The work has resulted in the development of effective clinical practice training and guidelines.,ref,social_impact
"The project enabled the development of new theoretical and embodied understanding of Jerzy Grotowski's oeuvre within and beyond the theatre profession, enhancing theatre skills in actor training and directing amongst professional practitioners, schoolteachers and pupils.",ref,social_impact
"Written and performed by Oliver Double, the stand-up comedy performance Saint Pancreas uses the medium of comedy to enhance public understanding of type 1 diabetes, and to challenge prevailing assumptions about the condition within and beyond the community of patients and their families.",ref,social_impact
"The impacts are two-fold: Significant and lasting behavioural changes in the 22 participating autistic children; Revaluation of drama and play-based methods to promote well-being in autistic children, specifically by: educational psychologists and teaching staff at Helen Allison School; the Director of Research at the National Autistic Society; and the Consultant Community Paediatrician at the Children's Assessment Centre, Kent and Canterbury Hospital, along with 15-20 of her staff.",ref,social_impact
It has demonstrated its capacity to transform lives.,ref,social_impact
"Research led by Austin (2004, 2007, 2008, 2010, 2011 and 2013) has had an impact in four broad ways; first, on teacher professional development by refining practice of collaborative learning using ICT; second, on the quality of pupil learning, including perceptions of cultural difference; third, on government policy in the way ICT is assessed by requiring schools to use ""exchange"" as a new requirement and, fourth, internationally, through supporting the `north-south' strand of the Belfast Agreement 1998, and shaping similar work in England and the Middle East.",ref,social_impact
Three significant research impacts are: statutory inclusion of Local and Global Citizenship in the Northern Ireland Curriculum (NIC) for all schools from 2007; research on `conflict sensitive' education that provided the conceptual framework for the 2011 UNESCO Education Global Monitoring Report and has been used by UNICEF to secure funding addressing peace-building and education in conflict affected countries; and a rights-based indicators framework now used by the Northern Ireland Executive to monitor implementation of children's policies.,ref,social_impact
Research carried out within the Irish and Celtic Studies Research Institute has had a direct impact upon government policy in Northern Ireland and has led to major benefits for the community.,ref,social_impact
"Linguistics at Ulster has: 1) influenced public policy and provision for Ulster Scots through appointment to The Ulster Scots Academy Implementation Group, planning for an Ulster Scots Academy and publication of Ulster Scots language resources 2) impacted on public values and discourse relating to local dialects with consequent effects on educational participation and practice 3) underpinned developments in policy and training in Irish-medium education 4) transformed the perspectives of communities and professionals adapting to the transition of Northern Ireland to a multicultural, multilingual society.",ref,social_impact
"Effectively it has changed how relevant stakeholders engage with issues relating to language, linguistic prejudices and disadvantage.",ref,social_impact
The impact of research in computer-assisted language learning (CALL) at Ulster is evidenced by the changes it has driven regarding the delivery of language teaching using ICT and multimedia language learning tools in a variety of environments.,ref,social_impact
"The production of internationally-recognised research to demonstrate effective motors for change led to the establishment of a key infrastructure, the Centre for Excellence in Multimedia Language Learning (CEMLL), funded by a CETL (Centre for Excellence in Teaching and Learning) grant of &#163;825,000 from Department of Education and Learning (DEL).",ref,social_impact
This has informed developments in language teaching in higher and secondary education and has provided language learning opportunities beyond traditional educational sectors into industrial and community settings.,ref,social_impact
"Since 2008, the project has had a direct and significant impact on children's participation in decision-making in Norfolk schools, as reported by the teachers and those who attended dissemination conferences and professional development initiatives, and nationally by educators who used the published report.",ref,social_impact
"Outcomes from CBR have been shown to increase independence, and enhance mobility and social inclusion of people with disabilities in low and middle income nations.",ref,social_impact
CBR is currently implemented in over 90 countries and has enabled thousands of disabled children and adults across the globe to receive rehabilitative care within their own communities.,ref,social_impact
"A potential policy change concerning disability benefits for older people (received by 2.44 million over 65s in Britain), which would have been based on an incorrect premise, has been avoided, partly as a result of research carried out in the submitting Unit.",ref,social_impact
"The research project, `The European Commission in Question', has had impact of considerable reach and significance: It has enabled senior managers across the Commission and others to gain a detailed understanding of the backgrounds, motivation and beliefs, careers and networking behaviour of Commission officials, as well as their attitudes to the internal operation of the organization, the impact of administrative reform, and the handling and effects of the 2004 and 2007 enlargements; it has informed the EU recruitment strategy of the UK Foreign and Commonwealth Office; and it has contributed to the Scottish government's approach to engagement with the Commission.",ref,social_impact
"More generally, its findings have informed the EU policy community and the wider public about the Commission and its staff.",ref,social_impact
"This case study outlines how our research has improved intercultural communication for a wide range of beneficiaries in Norwich, Norfolk and the East of England.",ref,social_impact
"We have changed practice, perceptions, and values around issues of intercultural understanding in an increasingly globalised context.",ref,social_impact
The primary impact of our research has been through systems that provide information for the deaf community via animated sign language.,ref,social_impact
"Tools exploiting our research into automatic generation of human motion, especially for sign language, are used in several ways: as a mechanism for face-to-face communication between deaf and hearing people; for the provision of public information in sign language in a semi-automatic way; to display the content of web sites in sign language; to provide sign language for TV programmes.",ref,social_impact
The same avatar (animated character) technology has also been applied in two other arenas: as a foreign language learning resource for primary school children and to add value to cultural heritage presentations.,ref,social_impact
"Our continuing long-term and interdisciplinary research into EPG has increased our impact in this census period from the previous RAE2008, during which time the UOA had already been awarded a Queen's Anniversary Prize (2002) for working towards the clinical application of speech science.",ref,social_impact
"The impact of this programme of research has been evident in influencing the evolution of wider public debate on issues of employee voice and shaping the development of policy frameworks and specific policy initiatives in the UK and abroad, particularly concerning whistleblowing.",ref,social_impact
"Impact has been apparent through influencing the development of employment culture and the respective practices of employers, unions, and human resources/industrial relations practitioners.",ref,social_impact
"This brought greatly improved employment rates for over 3,000 participating job seekers, with more than 80% achieving a positive outcome in terms of employment or further training.",ref,social_impact
"Furthermore, the programme reduced turnover rates for those employers involved in the project, and built the capacity of Union workforce representatives.",ref,social_impact
The research at Middlesex University has Influenced policies of state support to social enterprises demonstrated through references to research in policy documents and acknowledgement by key policy makers working in a range of UK national departments and Scottish Government.,ref,social_impact
"Research findings have influenced how government measures the size of the social enterprise sector and the supply of social investment funds, feeding into strategy documents of the Cabinet Office and supporting the development of Big Society Capital.",ref,social_impact
"Research has also stimulated the growth of individual social enterprises, with one reporting an increased turnover of 20% over 2 years.",ref,social_impact
"The research focuses on developing an understanding of the nature and extent of bullying behaviour within secure services, which has extended to developing methods of measurement, training and policy creation.",ref,social_impact
"Key applications of this research include the preparation of policy and strategy documents that have formed the basis for anti-bullying strategies in HM Prison Service, NHS high secure psychiatric institutions, and the Canadian Correctional Service.",ref,social_impact
Research undertaken at the Centre for Physical Activity and Health Research within the Sport and Exercise Sciences Research Institute has directly contributed to changes in public policy surrounding the health benefits of exercise and has informed the development of international and national physical activity guidelines.,ref,social_impact
These were landmark changes in primary health policy and provision in South Africa.,ref,social_impact
The case described shows that work reported in the 2008 RAE exploring the information seeking strategies of older users is currently having a direct and significant impact on government policy in respect of the broad area of digital inclusion.,ref,social_impact
"Specifically there have been invited contributions and provision of expert advice to Government policy making forums and to lead on training for designing for all especially in the area of standardisation in Europe and worldwide, including under EU Mandate 376, which is in the process of establishing EU wide rules to ensure accessibility to information and communication technologies (ICT) products and services.",ref,social_impact
The impact of the embedding of ethics in technology is observable by noting the routine use of ethics expert reviewers and evaluators and on Advisory Boards in EU funded projects since 2007.,ref,social_impact
"At a professional level, ethics has also become a core consideration for the British Computer Society and its representations to the community it serves.",ref,social_impact
The impact of the exhibition and its aftermath consists in alerting and informing viewers/readers concerning the plight of joblessness and homelessness in the UK.,ref,social_impact
"Secondly, research has been incorporated into practice and capacity- building through projects involving judiciaries, advocates, statutory bodies, and NGOs.",ref,social_impact
"The thesis on `impact' is that this body of work influenced government policies, public debate and good practice in equality procedures during the period 2008-2013.",ref,social_impact
This case study demonstrates sustained impact on UK government and devolved government policy in the area of creative digital participation; on the regional implementation of that policy; on publicly funded community initiatives that benefited from that implementation; and on the NI school curriculum.,ref,social_impact
"First, internationally, health research funding bodies adopted the framework in their evaluation strategies, including to provide accountability.",ref,social_impact
"Second, many stakeholders made extensive use the findings of payback studies in public debate and private lobbying for public expenditure on health research.",ref,social_impact
"Third, governments, public research funding bodies and medical research charities, from the UK to Australia, used the findings from payback studies to inform decisions regarding the levels and distribution of health research funding, with the aim of increasing the health and economic benefits that come from investments in research.",ref,social_impact
Oswald's research has shaped public attitudes and understanding about how both personal and aggregate economic outcomes influence individual happiness and has driven policy makers to consider happiness and well-being as legitimate policy goals in the UK and abroad.,ref,social_impact
"Research on gender and political processes in the context of devolution has contributed to campaigns conducted by the Violence Against Women Action Group in Wales, understandings of domestic violence within the policy community in Wales, and debates about women's political representation in the UK.",ref,social_impact
It has informed debates about the use of statistics relating to domestic abuse and contributed to the withdrawal of misleading statistics from public display; raised questions about the gender-neutral definition of domestic abuse adopted by the Welsh Assembly Government and Swansea City Council in their domestic abuse strategies; fed into campaigns by third sector organisations relating to domestic abuse and violence against women; and contributed to and informed the debate on positive measures to increase the political representation of women.,ref,social_impact
"Her membership of key national expert advisory panels and councils, both official and voluntary, has allowed the research to inform policy-making as well as print and broadcast media debates on many issues, notably the consequences of low wages and benefit cuts on the diet of low-income households; the role played by food banks in relieving food poverty and the benefits of local food networks in securing community-level food resilience.",ref,social_impact
"Secondly, research has informed Human Fertility and Embryology Authority (HFEA) policy on surrogacy and gamete donation.",ref,social_impact
"Thirdly, HFEA-commissioned research on elective Single Embryo Transfer (eSET) and stakeholder group membership has contributed to national guidelines, resulting in decreased numbers of embryos transferred in UK clinical practice, dramatically reducing multiple births and associated maternal and infant morbidity and mortality.",ref,social_impact
Research insights into how social impact can best be measured have led to changes in the practices of charities such as Citizens Advice and the use of a measurement tool by over 200 smaller organisations.,ref,social_impact
"As a result, students benefit from improvements to religious and intercultural education, and teachers benefit from substantial training programmes and resources developed to support these approaches.",ref,social_impact
"These resources have been accessed by large numbers of professionals and practitioners throughout the world, helping them grow in intercultural understanding, adapt their behaviour, and apply their insights to training others.",ref,social_impact
"Performing arts colleges and their students, as well as the wider creative economy, have benefitted from CEDAR's recommendation to the Government to continue the DaDA Scheme, resulting in a &#163;14m per annum investment in the performing arts sector, whilst the Training and Development Agency for Schools (TDA) commissioned CEDAR to evaluate the impact of the RSC's Learning and Performance Network (LPN) on teachers and learners, resulting in a successful bid by the RSC for funding to continue the LPN.",ref,social_impact
"The research also fed into the development of a collaborative practitioner training programme with the RSC, Teaching Shakespeare, launched in 2012.",ref,social_impact
"This case study demonstrates how research into children with speech, language and communication needs (SLCN) has had impact by influencing government policy and legislation, improving provision for children and their parents, providing resources and support for voluntary organisations, and assisting local authorities and trusts in the management of SLCN services.",ref,social_impact
"In addition, the team have collaborated extensively with practitioners and voluntary organisations including a comprehensive two-year DfE funded programme with the Communication Trust (2013-15) to educate and raise awareness of SLCN among its 50 constituent organisations and develop practitioners' knowledge and skills.",ref,social_impact
Professor Benati was able to apply his pioneering research on how best to help people learn a second language to provide the basis for (a) a fundamental change in the country's language education policy and (b) a significant improvement in grammar teaching methodology throughout Macedonia.,ref,social_impact
This project has positively impacted society's awareness of the natural environment and inspired over half a million people to explore their environment through active engagement.,ref,social_impact
"OPAL has also positively changed the way environmental teachers, scientists and other professionals, view and discharge their duties.",ref,social_impact
The international work has contributed to reducing the use of institutional care for children in developing countries and has provided tools for developing social services.,ref,social_impact
"Collectively and over time, this work has had a direct influence on social care policy and law across the UK, as outlined below.",ref,social_impact
"This work also leads to improved educational attainment and professional development for the marginalised users of these sign languages, and the promotion of their linguistic rights.",ref,social_impact
"The impact of this work, often in developing countries, is seen in the domains of: a) improved educational attainment and professional development for marginalised groups (deaf sign language users); and b) linguistic rights for sign language users through engagement with international policy makers, non-governmental organisations and professional bodies (in India, in Turkey and with international bodies).",ref,social_impact
Key recommendations of the UoA's research have become the practice of the Parliament.,ref,social_impact
This work has had a substantial impact on public debates about the place of England and Englishness within the United Kingdom; had a direct impact upon the McKay Commission report; and also influenced the constitutional thinking of the Labour party.,ref,social_impact
"By directly informing the conclusions of the All Wales Convention, and the behaviour of key actors in the 2011 Welsh referendum, the research has significantly influenced the Welsh devolution settlement.",ref,social_impact
The research has contributed substantially to the on-going work of the Silk Commission.,ref,social_impact
Regular and effective public dissemination of key research findings has enabled the research to inform political debate in Wales.,ref,social_impact
"The research has also contributed to the development of survey capacity in Wales, and thereby facilitated the conduct of more regular Welsh political polling.",ref,social_impact
These early inequalities heavily influence children's later outcomes.,ref,social_impact
"Our evaluations of the roll out demonstrate a range of impacts on beneficiaries, namely children and families: increased parental involvement in schools and increased social capital; improved parent to parent support networks, increased parent community leadership, positive child mental health outcomes and increased social skills; improved academic and school behaviour; reduced aggression and anxiety as well as reduced aggressive and delinquent behaviours after eight weeks.",ref,social_impact
The impact therefore takes the form of significant contribution to legal challenges and policy debate that are creating impetus for reform.,ref,social_impact
"By exploring regional and sectoral contradictions in Japan's 20th century expansion and drawing out implications for Europe, East Asia, and post-tsunami reconstruction, Dr. Matanle's research is being used in policy formulation, public discourse and communication, and education to develop a deeper and more comprehensive approach to anticipating development trends in the 21st century.",ref,social_impact
"Walker developed the concept of active ageing which has been adopted by national governments in Quebec and Northern Ireland, national charities and Sheffield City Council, leading in each case to significant policy change which is benefiting older people.",ref,social_impact
Their research has: Impacted on the development of multidisciplinary safeguarding partnerships in a number of countries.,ref,social_impact
Enabled policy makers and senior managers to measure system improvements.,ref,social_impact
Informed statutory guidance.,ref,social_impact
The project has created a new model of reminiscence theatre by proving that archive material can be used instead of live interviews.,ref,social_impact
"CORG has taken its research as the basis for a programme of activities that seeks to challenge modern attitudes to animals through archaeological studies, and to provoke reflection on the present relevance and future development of animals.",ref,social_impact
"By encouraging a range of audiences to consider the economic, social, ritual and symbolic roles of animals, CORG has enriched, informed and changed the perspectives of individuals who do not normally engage with the archaeological past, including target groups traditionally excluded from, or not aware of, academic research.",ref,social_impact
"The programme, which involves 21 systematic reviews (updated annually) and related primary studies, has directly informed five national clinical guidelines, the National Child Protection training program and the first NICE guidance on child maltreatment.",ref,social_impact
"This insight shaped the creation of the Food for Life programme, which has been implemented in over 4,000 UK schools.",ref,social_impact
"Furthermore, the research has influenced international public food policies, such as those of the United Nations.",ref,social_impact
Research at Cardiff University's School of Welsh helped UK and Welsh Government policy-makers understand the weaknesses and inconsistencies of the language regime.,ref,social_impact
The research also made policy-makers aware of alternative regimes and legislation in state-wide and devolved governments overseas.,ref,social_impact
"Cardiff research has led to significant changes across industry and government in (a) personal awareness/management, such as improved safety training and (b) new international legislation and company policy aimed at reducing fatigue and improving health and safety at sea.",ref,social_impact
"The findings have stimulated ongoing debate among eco-campaigners and a wider range of professionals in the third sector, government, the national press and online publications.",ref,social_impact
"A series of inter-related research projects, conducted over the last decade by Amanda Robinson, has contributed to significant changes in the services afforded to victims of domestic and sexual violence.",ref,social_impact
"Dr. Robinson's research has produced identifiable national and international policy impacts as organizations and governments have used findings from her work to inform their decision-making about the development, implementation and funding of services for these victims of crime.",ref,social_impact
"Hundreds of organisations have used the research to promote better treatment for employees with disabilities; public-sector employers, including government departments, have relied on it to meet their statutory duties and it has helped the UK to fulfil its international treaty and convention obligations in respect of people with disabilities.",ref,social_impact
This research has helped the Equality and Human Rights Commission (EHRC) to fulfil its statutory role to promote equality and human rights.,ref,social_impact
"The impact of this research can be traced through collaboration with voluntary sector organisations and the UK government to evidence given to various House of Commons Select Committee enquiries, to the raising of the debate in Parliament through an Early Day Motion and then to support for the establishment of the Council for Learning Outside the Classroom (CLOtC) &#8212; which provides a link to LOtC organisations and professionals.",ref,social_impact
The impact of this research is demonstrated in the way policy-makers in transnational organisations including the International Labour Office (ILO) and national governments are rethinking their policy agendas in this crucial area of public policy,ref,social_impact
Their development of the first Tourism Satellite Account for the UK has informed the way national and international agencies conceptualise and measure tourism impacts.,ref,social_impact
"This has helped event organisers and sponsors, including the Welsh Government, understand how to optimise value for money whilst minimising undesirable environmental impacts.",ref,social_impact
"The model, based on Cardiff Business School (CBS) research on social dialogue, has been used to guide the social partners (employers, trade unions and the state) through the processes of structural adjustment and private sector participation in ports in several countries around the world.",ref,social_impact
"It has also been used to bring national and international organisations together alongside Cardiff researchers, to develop guidelines for port-worker training, designed to promote competency-based training systems and improve efficiency, safety and health in the world's ports.",ref,social_impact
"In addressing this problem, CBS's Lean Enterprise Research Centre (LERC) has developed a structured training programme, the Lean Competency System (LCS), and delivered tailored lean solutions, which have directly facilitated the implementation of sustainable lean transformation strategies in over 200 public and private sector organisations since 2008.",ref,social_impact
"Several thousand people have received LCS accreditation, increasing the longevity of the effects from implementing lean strategies and creating efficiency savings worth millions of pounds.",ref,social_impact
"Through interdisciplinary, collaborative research, the method has been developed and applied in four countries, demonstrably aiding governments in their planning and decision making to protect vulnerable populations, for example, by enabling targeted improvements of vital infrastructure.",ref,social_impact
He thereby made a major contribution to public discourse on this question and played a key role in bringing about legal change.,ref,social_impact
"Impact from research on governance and legal regulation of nanotechnology by a Cardiff Law School research team operating within the ESRC-Centre for Business Relationships, Accountability, Sustainability and Society (BRASS) has: shaped UK government nanotech strategy; decisively influenced industry and industrial standards; and reached across other States and international organisations.",ref,social_impact
Outcomes have been major revisions to texts and permanent modifications to individual and organisational practices.,ref,social_impact
"Teenagers who were HIV+ spoke for the first time about their problems, sharing their concerns with each other and with Health Academy counsellors.",ref,social_impact
The booklet has contributed a new type of educational material for developing critical thinking in A-level Philosophy and has been used in the UK and overseas.,ref,social_impact
"medical and policy experts), prompted changes in thinking among clinicians and informed new training and support materials for both clinicians and families.",ref,social_impact
The findings also enriched public discussion about this highly contentious area of medicine and ethics e.g.,ref,social_impact
Research from the Violence and Society Research Group at Cardiff University has led directly to the development of a pioneering multi-agency data-sharing model for violence prevention that uses hospital Emergency Unit data.,ref,social_impact
Results from implementation of the data-sharing model demonstrate decreases in violence.,ref,social_impact
This success has encouraged international adoption in addition to the UK coalition government national commitment to implement the approach UK-wide.,ref,social_impact
James Laurence and Anthony Heath's research (2008) on the predictors of social cohesion provided the key empirical foundation for policies implemented by the Department for Communities and Local Government from 2008 onwards.,ref,social_impact
"These policies in turn impacted the practices of local authorities in a variety of domains, including the allocation of social housing and the funding of community projects.",ref,social_impact
"The research was also cited by a number of organizations beyond government in their policy documents, from the Equality and Human Rights Commission to consultancies such as Ipsos MORI.",ref,social_impact
"Rodin's research has had significant impact in re-shaping training on ethics for military personnel and senior civil servants in the US, UK and beyond, and is informing changes in the doctrine and practice of Western militaries.",ref,social_impact
Professor Roberts' research insights into the changing character of conflict and the laws of war have informed national and international policy.,ref,social_impact
"They have shaped (i) initiatives to reform US and UK military training, official manuals and directives on the laws of war; (ii) improvements to UK detention policies and practices; (iii) the House of Commons Foreign Affairs Committee's conclusion that the UK's aims in Afghanistan should be re-focussed; (iv) the International Red Cross' view of the legal issues affecting their role in contemporary forms of occupation; and (v) UN assessments of the legal standing of UN forces in particular deployments.",ref,social_impact
"Research in dyslexia carried out within the Unit has had impacts on practitioners and services in education, health and welfare.",ref,social_impact
"Pioneering research by Dr Bahman Baluch and Dr Maryam Danaye-Tousi (University of Guilan, Iran) on Farsi, and the relationship between orthography and the process of learning to read, has made a significant contribution to the ways in which reading is taught in Iran throughout the curriculum.",ref,social_impact
"Research on a common underlying deficit in dyslexia by Dr Nicola Brunswick, which lead to her appointment as Trustee of the British Dyslexia Association (BDA), has helped improve services for people with dyslexia in the UK.",ref,social_impact
"These Principles were endorsed by the House of Commons Science and Technology (S&amp;T) Committee in 2010 and were subsequently accepted by the UK Government in its official response to the Committee's report - meaning that appropriate governance arrangements are now a necessary precondition for responsible research, development, and demonstration (RD&amp;D) of geoengineering.",ref,social_impact
"The Principles have also been ""generally endorsed"" by the international geoengineering research community in its efforts to ensure responsible conduct in the controversial emerging area of environmental technology.",ref,social_impact
"Examining the role from the perspective of different stakeholders, these projects have impacted on national, regional and local policy and practice centred on the management and use of HCAs.",ref,social_impact
Key impacts include new policies: on psychosocial support; on `young carers' of AIDS-sick parents as well as orphans; and on child abuse prevention for AIDS-affected families.,ref,social_impact
"As a result, studies are extensively cited in policy documents of the South African government, US President's Emergency Fund for AIDS Relief (PEPFAR-USAID), UNICEF and Save the Children, and have been used to train over 10,000 health and community staff and to develop programmes reaching millions of children throughout the region.",ref,social_impact
This key insight contributed to changes in: DFID strategy towards conflict-affected areas; UNDP policy on post-conflict reconstruction; the work of the World Bank towards conflict; and OECD guidance on state-building in fragile states.,ref,social_impact
"The research also made a contribution to national policy discussions in a number of developing countries, including Nepal, Malaysia and Kenya.",ref,social_impact
"This research has had a significant impact on public policy 8212; most notably through Dr Hanna Pickard's invitation by the Department of Health and the Ministry of Justice to develop a module for prison staff training, but also through a report of the House of Lords Science and Technology Select Committee in which evidence given by Dr Bennett Foddy was cited and through a document prepared for the Technical Development Group of the World Health Organisation, in which work by Dr Bennett Foddy and Julian Savulescu was cited.",ref,social_impact
The research has also generated active blog discussions with members of the public.,ref,social_impact
"Through his research on strategy, and his guiding role in the Oxford ""Changing Character of War"" programme, Sir Hew Strachan, Chichele Professor of the History of War (since 2002), has made a major contribution to these debates and has helped to shape military policy making in the UK and the USA.",ref,social_impact
Dr Nic Cheeseman's research has informed and influenced electoral practices in Kenya and Zambia.,ref,social_impact
"In Kenya, his work shaped the findings of the official Kreigler Commission, whose report on the controversial elections of 2007 led to the restructuring of the electoral commission.",ref,social_impact
"In Zambia, his advice led the UK Department for International Development (DfID) to include parliamentary scorecards and the training constituency based officers of the National Assembly as part of its democracy promotion activities for the first time, and resulted in the World Bank adopting a more flexible Country Partnership Strategy.",ref,social_impact
